,epochs,steps,train_accs,train_losses,val_accs
0,1,"(1001, 3125)",57.921,1.0078437820076942,56.9
1,1,"(2001, 3125)",61.261,0.885607539832592,59.7
2,1,"(3001, 3125)",62.462,0.8596843718886376,62.3
3,2,"(1001, 3125)",63.341,0.8263461694121361,62.5
4,2,"(2001, 3125)",63.83,0.8251494148373604,63.0
5,2,"(3001, 3125)",64.273,0.8191726066470146,61.9
6,3,"(1001, 3125)",65.372,0.7867063248157501,62.5
7,3,"(2001, 3125)",66.187,0.7873317597806454,63.3
8,3,"(3001, 3125)",66.603,0.7887627515494824,62.3
9,4,"(1001, 3125)",67.139,0.7627159980535507,63.0
10,4,"(2001, 3125)",67.935,0.7597690495550633,63.1
11,4,"(3001, 3125)",68.394,0.7524823077321052,63.3
12,5,"(1001, 3125)",69.249,0.7319394122958184,63.2
13,5,"(2001, 3125)",68.938,0.7308443177938462,62.5
14,5,"(3001, 3125)",70.434,0.7244932987689972,64.2
15,6,"(1001, 3125)",70.682,0.6962676095664502,63.1
16,6,"(2001, 3125)",71.492,0.6976254740059376,62.9
17,6,"(3001, 3125)",72.201,0.7005457729101181,64.9
18,7,"(1001, 3125)",72.926,0.6715473422110081,65.1
19,7,"(2001, 3125)",73.195,0.6693711163103581,65.4
20,7,"(3001, 3125)",74.226,0.6651723481118679,65.6
21,8,"(1001, 3125)",73.832,0.6391525256037712,65.7
22,8,"(2001, 3125)",74.776,0.6478587900102138,64.6
23,8,"(3001, 3125)",74.645,0.6388010103404522,64.5
24,9,"(1001, 3125)",75.806,0.6146926200389862,65.5
25,9,"(2001, 3125)",76.569,0.6136969898343086,65.6
26,9,"(3001, 3125)",76.987,0.6200250601321459,66.8
27,10,"(1001, 3125)",77.102,0.5881787217855453,66.1
28,10,"(2001, 3125)",77.325,0.5873883441388607,64.0
29,10,"(3001, 3125)",77.938,0.5897238772213459,66.2
