,epochs,steps,train_accs,train_losses,val_accs
0,1,"(1001, 3125)",59.295,0.9668210009932519,57.7
1,1,"(2001, 3125)",62.505,0.878452799975872,61.3
2,1,"(3001, 3125)",63.779,0.847981958091259,62.2
3,2,"(1001, 3125)",65.374,0.812078565299511,62.2
4,2,"(2001, 3125)",66.559,0.8074077151715755,63.7
5,2,"(3001, 3125)",66.954,0.7972547042071819,65.8
6,3,"(1001, 3125)",68.436,0.7620757427215576,64.5
7,3,"(2001, 3125)",69.346,0.7582534994781017,66.4
8,3,"(3001, 3125)",69.475,0.7665647799670696,67.3
9,4,"(1001, 3125)",70.698,0.7338122277855873,67.8
10,4,"(2001, 3125)",71.109,0.7391735104322433,67.2
11,4,"(3001, 3125)",71.539,0.7345816128253937,67.8
12,5,"(1001, 3125)",72.257,0.7059670541286468,68.7
13,5,"(2001, 3125)",72.786,0.7144927082657814,68.0
14,5,"(3001, 3125)",72.867,0.7159249813258648,68.9
15,6,"(1001, 3125)",73.071,0.6872887583374977,68.6
16,6,"(2001, 3125)",73.78,0.694989991992712,69.2
17,6,"(3001, 3125)",74.658,0.6922065539360046,70.2
18,7,"(1001, 3125)",75.304,0.6636079104542733,69.4
19,7,"(2001, 3125)",75.492,0.6732756980061531,69.9
20,7,"(3001, 3125)",75.825,0.6732016422450543,70.4
21,8,"(1001, 3125)",76.313,0.6436319842338561,69.4
22,8,"(2001, 3125)",76.827,0.6619946928322316,70.2
23,8,"(3001, 3125)",76.926,0.6504838221371174,70.2
24,9,"(1001, 3125)",77.513,0.6306524598300457,70.6
25,9,"(2001, 3125)",76.435,0.6328660947978496,70.4
26,9,"(3001, 3125)",78.18,0.6394878059625626,70.1
27,10,"(1001, 3125)",78.012,0.6106275370419025,70.5
28,10,"(2001, 3125)",77.937,0.6186296102106571,69.7
29,10,"(3001, 3125)",78.544,0.6248107302486896,71.2
