,epochs,steps,train_accs,train_losses,val_accs
0,1,"(1001, 3125)",56.847,0.9968623980879784,56.6
1,1,"(2001, 3125)",58.992,0.9110930662751198,58.6
2,1,"(3001, 3125)",60.543,0.8822738765478134,59.4
3,2,"(1001, 3125)",61.709,0.8610155442357064,60.0
4,2,"(2001, 3125)",62.291,0.8380097739100456,60.8
5,2,"(3001, 3125)",62.705,0.835198235809803,61.5
6,3,"(1001, 3125)",63.752,0.8148613798618317,60.8
7,3,"(2001, 3125)",65.182,0.8034711796939373,62.4
8,3,"(3001, 3125)",66.024,0.7910548936426639,64.8
9,4,"(1001, 3125)",66.791,0.7717819644510746,66.0
10,4,"(2001, 3125)",67.161,0.7651463466286659,65.6
11,4,"(3001, 3125)",67.632,0.7546569803059101,66.8
12,5,"(1001, 3125)",68.124,0.7412032670378685,66.4
13,5,"(2001, 3125)",68.971,0.7380679609775543,66.1
14,5,"(3001, 3125)",69.2,0.7312678573727608,67.7
15,6,"(1001, 3125)",69.69,0.7153600499927998,66.5
16,6,"(2001, 3125)",69.902,0.7164743896126747,65.7
17,6,"(3001, 3125)",70.453,0.7145452482700347,67.8
18,7,"(1001, 3125)",70.998,0.6976870791018009,67.5
19,7,"(2001, 3125)",71.137,0.6956363028883934,68.1
20,7,"(3001, 3125)",71.574,0.69228489407897,68.5
21,8,"(1001, 3125)",72.147,0.675085187971592,68.0
22,8,"(2001, 3125)",72.368,0.6735330777168274,68.2
23,8,"(3001, 3125)",72.71,0.6751530559360981,67.1
24,9,"(1001, 3125)",72.884,0.6539135385155678,69.1
25,9,"(2001, 3125)",72.753,0.6545808744430542,67.8
26,9,"(3001, 3125)",73.734,0.6529639696478844,68.1
27,10,"(1001, 3125)",74.346,0.6306375448405742,69.3
28,10,"(2001, 3125)",74.629,0.6370165994167328,70.4
29,10,"(3001, 3125)",74.942,0.623779056251049,69.7
