,epochs,steps,train_accs,train_losses,val_accs
0,1,"(1001, 3125)",56.597,0.9975360546708107,57.5
1,1,"(2001, 3125)",58.981,0.9125836848020553,58.7
2,1,"(3001, 3125)",60.234,0.8881195877194404,59.8
3,2,"(1001, 3125)",61.562,0.8632274941802025,59.4
4,2,"(2001, 3125)",62.41,0.8539446142911911,61.1
5,2,"(3001, 3125)",63.426,0.8302022051215172,63.4
6,3,"(1001, 3125)",64.197,0.8184575750231743,63.3
7,3,"(2001, 3125)",65.495,0.8036640180647373,65.5
8,3,"(3001, 3125)",66.485,0.7931218954920769,64.6
9,4,"(1001, 3125)",66.839,0.7785599740445613,65.6
10,4,"(2001, 3125)",67.263,0.7718775565326214,64.6
11,4,"(3001, 3125)",67.949,0.7726055110692978,66.5
12,5,"(1001, 3125)",67.795,0.7525128169059754,65.1
13,5,"(2001, 3125)",68.568,0.7540347763597965,66.5
14,5,"(3001, 3125)",68.844,0.7581635143458844,66.5
15,6,"(1001, 3125)",69.194,0.7366978033483028,66.6
16,6,"(2001, 3125)",69.237,0.7355204696953297,66.7
17,6,"(3001, 3125)",70.165,0.7326852017045021,67.5
18,7,"(1001, 3125)",69.991,0.7233047757148743,66.9
19,7,"(2001, 3125)",70.656,0.7187430173158645,67.2
20,7,"(3001, 3125)",71.047,0.7150204240977764,67.7
21,8,"(1001, 3125)",71.219,0.6992202513813972,67.2
22,8,"(2001, 3125)",71.913,0.7046411808729172,67.4
23,8,"(3001, 3125)",71.714,0.6974205791950225,67.7
24,9,"(1001, 3125)",72.67,0.6873828738629818,66.8
25,9,"(2001, 3125)",72.409,0.6802498354315758,67.8
26,9,"(3001, 3125)",72.887,0.6772591236829758,68.3
27,10,"(1001, 3125)",73.624,0.6613616820275784,68.1
28,10,"(2001, 3125)",73.282,0.6656941872239113,68.2
29,10,"(3001, 3125)",74.192,0.6637645033597946,69.7
